grade	Gender	Age	contest	TotalScore	Awards	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
9	 	0	0	58.5		C	E	.	B	.	E	D	A	E	C	.	.	D	.	.	.	.	A	.	.	.	.	.	.	.
12	M	17	2	57		C	E	B	B	B	D	B	C	E	C	A	A	A	C	.	A	.	D	.	.	E	C	.	D	.
9	 	13	0	57		C	E	.	A	E	B	D	A	E	C	.	.	A	.	.	.	.	A	.	.	.	.	.	.	.
9	M	14	0	57		C	E	B	D	B	B	D	A	E	B	.	.	E	D	.	.	C	D	.	.	C	.	.	.	.
11	M	16	2	57		C	E	B	E	.	D	C	.	.	.	A	.	.	.	.	.	.	.	.	.	.	.	.	.	.
9	F	14	0	57		C	E	.	B	E	B	D	C	.	.	E	C	B	.	.	.	.	B	.	.	.	.	.	.	.
9	 	14	0	57		.	E	.	B	B	B	D	A	E	.	.	.	D	A	.	.	C	A	.	.	.	.	.	.	.
11	F	16	2	55.5		C	E	B	E	B	D	D	E	.	D	D	B	.	C	.	E	A	.	A	.	A	.	.	.	.
11	F	16	2	55.5		C	E	B	B	E	D	.	C	.	C	.	C	D	.	.	.	B	.	C	.	.	.	.	.	.
10	M	15	0	55.5		C	E	D	B	E	B	D	A	D	C	E	B	C	A	D	.	E	B	.	.	.	D	.	E	D
10	 	15	0	55.5		C	E	A	B	E	.	D	B	D	C	.	.	B	.	.	.	.	A	.	.	A	.	.	.	.
12	 	17	2	55.5		C	E	B	E	B	D	B	B	D	C	D	.	B	A	C	D	D	.	.	.	.	.	.	.	.
9	F	14	0	54		C	E	A	B	C	B	D	A	D	B	E	C	A	.	.	.	.	.	.	.	.	.	.	.	.
12	F	17	2	54		C	E	B	E	B	D	C	A	B	C	B	C	D	C	A	A	B	A	B	B	A	B	C	B	D
9	 	14	0	54		C	E	C	D	E	B	D	.	.	.	E	.	.	.	.	.	.	A	.	.	.	.	.	.	.
9	F	14	0	52.5		C	E	B	B	.	B	D	A	E	A	E	.	E	B	.	.	A	A	.	.	.	.	.	.	.
9	M	0	0	52.5		A	E	A	B	B	B	D	A	E	C	E	D	B	.	.	.	.	B	.	.	.	.	.	.	.
9	M	0	0	51		A	E	.	B	E	B	A	A	D	.	B	D	.	.	.	.	.	A	.	.	.	.	.	.	.
11	F	16	2	51		C	E	D	E	A	D	C	D	A	.	.	.	.	B	.	B	A	C	.	.	E	A	.	.	.
9	 	14	0	51		C	E	A	B	B	B	.	A	E	C	E	.	D	B	.	C	.	B	.	.	A	.	.	.	.
9	M	14	0	51		C	E	B	B	D	B	D	B	E	B	.	C	E	B	D	B	E	A	B	C	C	D	A	A	.
9	M	15	0	51		C	E	A	A	B	B	D	B	A	B	B	C	C	.	.	.	E	A	.	.	.	.	.	.	.
12	F	17	2	48		.	E	.	.	.	D	D	.	.	E	.	C	B	.	.	.	C	.	B	.	E	.	.	.	.
10	F	15	0	48		C	E	B	B	E	C	D	C	E	A	B	D	E	B	D	A	E	A	C	C	B	.	.	.	.
10	M	15	0	48		C	E	B	A	E	B	D	A	B	E	B	D	E	D	E	C	D	A	D	A	C	A	B	B	B
9	M	14	0	48		C	E	C	E	E	B	D	A	C	.	E	C	E	.	.	.	.	A	.	.	.	.	.	.	.
11	M	15	2	48		C	E	B	C	A	D	B	C	A	D	C	A	B	E	B	A	E	C	D	E	B	C	A	B	D
9	F	14	0	48		B	E	B	A	B	B	D	A	.	.	A	.	.	A	.	D	.	A	.	.	D	.	.	.	.
11	 	16	2	46.5		C	E	C	E	B	D	B	A	C	D	B	B	D	B	B	A	D	C	D	C	B	B	.	.	.
9	 	0	0	46.5		C	E	D	C	E	B	D	A	D	C	E	C	C	B	.	.	E	A	D	.	A	.	.	.	.
9	 	14	0	46.5		A	E	B	C	B	B	D	A	D	B	E	.	E	.	.	.	D	A	.	.	.	.	.	.	.
10	M	15	0	45		C	E	.	.	B	B	D	A	D	B	D	.	C	B	.	.	A	B	.	.	.	A	.	A	.
9	 	14	0	45		A	E	E	B	B	B	D	A	E	C	C	E	.	.	.	.	.	B	.	.	A	.	.	.	D
9	 	14	0	42		C	E	E	A	E	B	D	D	E	E	E	C	B	D	D	E	B	E	C	C	C	D	E	C	E
9	F	14	0	42		C	E	A	B	D	B	E	A	.	C	.	C	B	.	.	.	C	A	.	.	.	.	.	.	.
9	M	14	0	39		C	E	A	C	A	B	D	A	C	B	D	.	A	B	D	A	E	B	D	.	.	.	.	C	.
